Sucursal,Codigo
MXL,000650,PEDRO
MXL,008006,PARAMO
MXL,000421,EZEQUIEL
MXL,007188,DREAM
MXL,007188,JUNG
MXL,007188
MXL,007069
MXL,009328
MXL,009944
MXL,007069
MXL,007844
MXL,007057
MXL,000156
MXL,009366
MXL,006201
MXL,009927
MXL,009366
MXL,007890
MXL,009944
MXL,005843
MXL,005843
MXL,006721
MXL,004890
MXL,006822
MXL,007995
MXL,007995
MXL,000421
MXL,007079
MXL,006671
TIJ,006043
TIJ,006043
TIJ,068582
TIJ,068582
TIJ,068582
TIJ,068582
TIJ,070208
TIJ,070208
TIJ,070208
TIJ,070208
TIJ,070208
TIJ,001096
TIJ,001096
TIJ,001096
TIJ,001096
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
